id,rate,name
51059,23.3,Fairfax
51600,40,Fairfax City
54027,8,Hampshire
51061,7.4,Fauquier
24035,11.1,Queen Anne's
51013,12.8,Arlington
51683,7.5,Manassas City
24041,3.5,Talbot
24043,9.2,Washington
54037,9,Jefferson
42055,9.2,Franklin
24017,14.2,Charles
51107,19.5,Loudoun
24013,13.8,Carroll
24031,16.1,Montgomery
24003,9.7,Anne Arundel
24027,10.6,Howard
51043,15.8,Clarke
51153,13.7,Prince William
24510,3.2,Baltimore City
51840,9.7,Winchester City
51685,17.9,Manassas Park City
11001,4.5,District Of Columbia
51510,10.1,Alexandria City
24009,10.2,Calvert
24019,5.3,Dorchester
51610,33.3,Falls Church City
24025,11.5,Harford
24005,12.7,Baltimore
51069,15.3,Frederick
51630,3.7,Fredericksburg City
51177,10.9,Spotsylvania
51179,14.3,Stafford
24037,12.8,St Mary's
54003,4.7,Berkeley
51157,11.8,Rappahannock
24021,14.2,Frederick
51187,14.5,Warren
24033,9.2,Prince Georges
51047,9.3,Culpeper